epoch,accuracy,loss,val_accuracy,val_loss
0,0.7639954,230.3063933710379,0.7015625238418579,0.8070592398289591
1,0.9472776,0.14239866864736095,0.871874988079071,0.4121461966075003
2,0.96702456,0.081809660494099,0.8734375238418579,0.4271399575285614
3,0.9723926,0.07814364070415589,0.7578125,0.9604419779003365
4,0.9771856,0.06164191014339085,0.78125,0.9450344962271628
5,0.9766104,0.0685897801939878,0.651562511920929,2.482651513461133
6,0.98619634,0.041031619765298684,0.7734375,1.1152087494338048
7,0.9890721,0.029370851309804324,0.714062511920929,1.8806940799259337
8,0.9883052,0.03329323702870348,0.7093750238418579,2.2200253505667433
9,0.986388,0.0358893023132478,0.7749999761581421,1.20637306519493
10,0.9806365,0.05459568629032744,0.765625,1.0654119004117093
11,0.9829371,0.04773019501286633,0.765625,1.2235262155154487
12,0.99233127,0.023509182097701687,0.707812488079071,2.318860463565204
13,0.9963574,0.010475855424608807,0.7093750238418579,2.8365762780912918
14,0.99597394,0.01308463176639545,0.706250011920929,2.9699658049211806
15,0.9695169,0.08892104079596201,0.7250000238418579,1.971976944306698
16,0.9932899,0.023597754830883052,0.7015625238418579,2.9217025015569504
17,0.99904144,0.0038148417659646665,0.723437488079071,2.8867574953095683
18,0.9963574,0.010356360141357887,0.731249988079071,2.891630652112525
19,1.0,0.0010409542038733927,0.71875,3.5701211980424943
20,1.0,0.0006591152201408086,0.71875,3.7261368560773556
21,1.0,0.0005315982249113331,0.7328125238418579,3.40515956886279
22,1.0,0.0004320240500893735,0.7171875238418579,4.10091808006013
23,1.0,0.00031882586398489053,0.7203124761581421,4.052540912170331
24,1.0,0.0002576296501055551,0.7250000238418579,4.0433283079559885
25,1.0,0.00022082134216746738,0.7250000238418579,4.068953651620007
26,1.0,0.00019183442688638493,0.7250000238418579,4.273697376969726
27,1.0,0.0001627667741201878,0.7250000238418579,4.246355976234198
28,1.0,0.00014554507177230434,0.723437488079071,4.452002385525829
29,1.0,0.00012704184350444781,0.71875,4.65228362996561
