epoch,accuracy,loss,val_accuracy,val_loss
0,0.7223429,16.25180485172687,0.8343750238418579,0.38726520873606207
1,0.7874898,0.4611834215191408,0.885937511920929,0.3473930139094591
2,0.8085518,0.4251328069753795,0.84375,0.40706156510859726
3,0.8070846,0.42768368136313356,0.8031250238418579,0.4863038470502943
4,0.82199585,0.3968843606631764,0.7671874761581421,0.6188127528410405
5,0.8223768,0.40301984728006573,0.7867187261581421,0.5673803298734128
6,0.8329713,0.3966897133443189,0.8726562261581421,0.3241282992064953
7,0.7920887,0.4490614567478889,0.37812501192092896,0.8402360513806343
8,0.6073978,0.6762700411528277,0.37812501192092896,0.8517669051885605
